[2026. 08. 24. | 08:54:56] 처리 오류: 미등록 ISBN 입력
[2026. 08. 24. | 08:58:09] ISBN 입력 오류: ISBN은 13자리 숫자여야 합니다.
[2026. 08. 24. | 08:58:11] 입력 오류: 미등록 도서
[2026. 08. 24. | 09:00:18] 대여 실패: 대여 중
[2026. 08. 24. | 09:03:53] 입력 오류: 잘못된 번호
[2026. 08. 24. | 09:03:54] 입력 오류: 숫자 외 입력 
[2026. 08. 24. | 10:35:07] 입력 오류: 잘못된 번호
[2026. 08. 24. | 10:36:37] 입력 오류: 잘못된 번호
[2026. 08. 24. | 10:39:43] 처리 오류: 미등록 도서 대여/반납 시도
[2026. 08. 24. | 15:40:38] 입력 오류: 숫자 외 입력 
[2026. 08. 24. | 15:42:31] 입력 오류: 인덱스 범위 외 입력 
[2026. 08. 24. | 15:43:31] 입력 오류: 숫자 외 입력 
[2026. 08. 24. | 15:53:43] 도서 유형 입력 오류: 
[2026. 08. 24. | 15:54:27] 도서 유형 입력 오류: 
[2026. 08. 24. | 15:55:05] 입력 오류: 숫자 외 입력 
[2026. 08. 24. | 15:55:15] 도서 유형 입력 오류: 
[2026. 08. 24. | 15:55:50] ISBN 입력 오류: ISBN은 13자리 숫자여야 합니다.
[2026. 08. 24. | 15:56:04] 도서 유형 입력 오류: 
[2026. 08. 24. | 15:56:06] 입력 오류: 미등록 도서
[2026. 08. 24. | 15:56:30] 도서 유형 입력 오류: 
[2026. 08. 24. | 16:01:53] 입력 오류: ISBN 중복
[2026. 08. 24. | 16:02:04] 도서 유형 입력 오류: 
[2026. 08. 24. | 16:02:17] 도서 유형 입력 오류: 
[2026. 08. 24. | 16:04:31] 도서 유형 입력 오류: 
[2026. 08. 24. | 16:05:07] 도서 유형 입력 오류: 
[2026. 08. 24. | 16:29:58] 입력 오류: 인덱스 범위 외 입력 
[2026. 08. 24. | 16:30:14] 도서 유형 입력 오류: 
[2026. 08. 25. | 19:37:15] 입력 오류: 인덱스 범위 외 입력 
